YEAR,STAKE,ELEV,BA
2020,2,208.521,-3.0515
2020,3,207.106,-2.618
2020,6,240.736,-2.1845
2020,7,341.804,-1.802
2020,8,305.633,-1.9465
2020,9,285.407,-1.938
2020,10,292.189,-2.0825
2020,12,442.061,-1.445
2020,13,408.046,-1.632
2020,14,245.073,-2.4395
2020,15,173.459,-3.0855
2020,18,268.564,-2.1505
2020,20,209.195,-2.4905
2020,21,377.396,-1.462
2019,2,208.521,-2.107614269
2019,3,207.106,-1.648630959
2019,6,240.736,-1.070961056
2019,7,341.804,-0.348641868
2019,8,305.633,-0.807625177
2019,9,285.407,-0.841933021
2019,10,292.189,-1.376949929
2019,12,442.061,-0.866968474
2019,13,408.046,-0.713974037
2019,14,245.073,-1.232300644
2019,15,173.459,-2.099269117
2019,18,268.564,-1.028308062
2019,20,209.195,-1.691283953
2019,21,377.396,-0.909621468
2018,2,208.521,-2.388567688
2018,3,207.106,-2.243918403
2018,6,240.736,-1.912894077
2018,7,341.804,-0.960619614
2018,8,305.633,-1.717246646
2018,9,285.407,-1.57259736
2018,10,292.189,-1.648630959
2018,12,442.061,-0.960619614
2018,13,408.046,-1.164612196
2018,14,245.073,-1.725591797
2018,15,173.459,-2.503545326
2018,18,268.564,-1.513254063
2018,20,209.195,-2.141922112
2018,21,377.396,-1.138649504
2017,2,208.521,-2.937493182
2017,6,240.736,-1.635649613
2017,7,341.804,-1.243427512
2017,8,305.633,-1.994491109
2017,9,285.407,-1.5355078
2017,10,292.189,-1.84427839
2017,12,442.061,-1.218392058
2017,13,408.046,-1.210046907
2017,14,245.073,-1.944420203
2017,15,173.459,-2.737209556
2017,20,209.195,-2.38671321
2017,21,377.396,-1.126595397
2016,2,208.521,-2.690847606
2016,3,207.106,-2.278226246
2016,6,240.736,-2.448838224
2016,7,341.804,-1.059834188
2016,8,305.633,-1.235082361
2016,9,285.407,-1.802552634
2016,10,292.189,-1.939784008
2016,11,124.437,-3.158176066
2016,12,442.061,-1.118250245
2016,13,408.046,-1.168321152
2016,14,245.073,-1.869313843
2016,15,173.459,-2.962528635
2016,20,209.195,-2.052907167
2016,21,377.396,-1.218392058
2015,2,208.521,-1.452056289
2015,3,207.106,-1.368604778
2015,6,240.736,-0.851205411
2015,7,341.804,-0.763581324
2015,8,305.633,-0.300425439
2015,9,285.407,-1.07652449
2015,10,292.189,-1.810897786
2015,11,124.437,-1.185011454
2015,12,442.061,0
2015,13,408.046,-0.951347224
2015,13a,408,-0.817824806
2015,14,245.073,-1.101559943
2015,15,173.459,-1.15163085
2015,16,88.437,-2.07794262
2015,17,336.437,-1.07652449
2015,19,370.437,-0.801134504
2015,19a,370.437,-0.751063598
2014,2,208.521,-1.045925603
2014,3,207.106,-0.977309916
2014,6,240.736,-0.705628886
2014,7,341.804,-0.229955274
2014,8,305.633,-0.55263445
2014,9,285.407,-0.697283735
2014,10,292.189,-0.875313625
2014,11,124.437,-1.20726519
2014,12,442.061,-0.340296716
2014,12a,434.061,-0.195647431
2014,13,408.046,-0.433947856
2014,14,245.073,-0.92631177
2014,15,173.459,-1.054270754
2014,16,88.437,-1.028308062
2014,17,336.437,-0.501636304
2014,18,250.437,-0.688938584
2014,19à,370.437,-0.382949711
2014,20,209.195,-0.730664339
2010,1,156,-0.4131
2010,2,196,-0.39015
2010,3,227,-0.2754
2010,4,232,-0.4131
2010,5,237,-0.37485
2010,6,264,-0.3672
2010,7,306,-0.25245
2010,8,312,-0.2448
2010,11,362,-0.0765
2010,12,316,-0.16065
2010,15,278,-0.23715
2010,16,238,-0.2295
2010,17,253,-0.19125
2010,18,161,-0.42075
2009,1,175.67929,-0.7582
2009,2,212.29373,-0.81855
2009,3,241.06877,-0.6902
2009,4,242.10182,-0.612
2009,5,244.10715,-0.7735
2009,6,266.4635,-0.52615
2009,7,303.60065,-0.51255
2009,8,308.58902,-0.5304
2009,9,298.44479,-0.6596
2009,10,303.16501,-0.56015
2009,11,374.51193,-0.35275
2009,12,321.69431,-0.6511
2009,14,328.34738,-0.3604
2009,15,288.85052,-0.6596
2009,16,272.47989,-0.5508
2008,1,175.67929,-0.5338
2008,2,212.29373,-0.4097
2008,2à,212.29373,-0.4794
2008,3,241.06877,-0.54145
2008,4,242.10182,-0.4488
2008,5,244.10715,-0.4794
2008,6,266.4635,-0.38675
2008,7,303.60065,-0.37145
2008,8,308.58902,-0.35615
2008,8à,308.58902,-0.24735
2008,9,298.44479,-0.40205
2008,10,303.16501,-0.3485
2008,10s,303.16501,-0.37145
2008,11,374.51193,-0.27115
2008,12,321.69431,-0.2244
2008,13,371.17844,-0.085
2008,14,328.34738,-0.21675
2008,15,288.85052,-0.24735
2008,15à,288.85052,-0.24735
2008,16,272.47989,-0.3485
2008,17,251.1272,-0.2482
2008,17à,251.1272,-0.26265
2008,18,195.32811,-0.2244
